City name;City name (CDP);City name (carbonn);City name (PKU);City name (GEA);City name (UITP);City name (WB);Definition (CDP);Definition (carbonn);Definition (WB);Study year (WB);Reporting year (CDP);Scope-1 GHG emissions [tCO2 or tCO2-eq];Scope-1 source dataset;Scope-1 GHG emissions units;Year of emission;Emissions protocol;Gases included (CDP);Methodology details (CDP);Increase/Decrease from last year (CDP);Reason for increase/decrease in emissions (CDP);Scope-2 (CDP) [tCO2-eq];Total emissions (CDP) [tCO2-eq];CDP2016 data edited (CDP);Emissions Quality Flag (CDP);S1 lower bound [tCO2] (CDP);S1 upper bound [tCO2] (CDP);S1 mean (CDP) [tCO2];TOT lower bound [tCO2] (CDP);TOT upper bound [tCO2] (CDP);TOT mean (CDP) [tCO2];Scope fraction (CDP);CO2 emissions per capita (PKU) [tCO2/capita];City location (CDP) [degrees];Coordinate source (others);Country;Region;Population (CDP);Population year (CDP);Population (carbonn);Population year (carbonn);Urban population (PKU);Population (GEA);Population (UITP);Population (WB);Population year (WB);Population (others);Population year (others);Population source (others);Population 1950 (WB);Population 1990 (WB);Population 2010 (WB);Population growth rate 1950-2010 (WB) [people/60years];Population growth rate 1990-2010 (WB) [people/20years];Ancillary from GEA+;City area (CDP) [km2];City area (GEA) [km2];City area (WB) [km2];Built-up area (PKU) [km2];City area (others) [km2];City area source year (others);City area source (others);Population density (GEA) [people/km2];Population density (UITP) [people/km2];Population density (WB) [people/km2];Population/sqrt(area) (GEA) [people/km];Population/sqrt(area) (WB) [people/km];Average altitude [m];Average annual temperature (CDP) [degrees Celsius];Weather station ID (GEA+);CDD 23C (GEA+) [degrees C × days];HDD 15.5C (GEA+) [degrees C × days];HDD 15.5C (clim) [degrees C × days];CDD 23C (clim) [degrees C × days];GDP (CDP) [multiple units];GDP unit (CDP);GDP year (CDP);GDP source (CDP);GDP (carbonn) [multiple units];nGDP (carbonn) [multiple units];GDP unit (carbonn);GDP year (carbonn);GDP (PKU) [10000 RMB];Income per capita (PKU) [RMB/capita];GDP-PPP (others) [$BN];GDP-PPP/capita (others) [USD/capita];GDP-PPP source (others);GDP-PPP year (others);nGDP (others) [$BN];nGDP/capita (others) [USD/capita];nGDP source (others);nGDP year (others);GDP-PPP/capita (GEA) [USD/year];GDP-PPP/capita (UITP) [USD/year];GDP-PPP/capita (WB) [USD/year];Total final consumption per capita (GEA) [GJ/capita/yr];Energy per capita CO2 (WB) [tCO2-eq/capita/yr];Diesel price (GEA+) [USD/liter];Gasoline price (GEA+) [USD/liter];Center of commerce index (GEA+) [dimensionless];Household size (GEA+) [people/household];Household size year (GEA+);Household source (GEA+);Household size comment (GEA+);Urbanization ratio (GEA+) [percent];Water bounded (GEA+);Other bounded (GEA+);Mean one-way travel time (others) [minutes];Mean one-way travel time year (others);Mean one-way travel time source (others);Diesel price 2014 (others) [USD/liter];Gasoline price 2014 (others) [USD/liter];Household size (others) [people/household];Household size year (others);Household size source (others);Household size comment (others);Congestion rank (INRIX) [dimensionless];Peak hours spent in congestion (INRIX) [hours];INRIX congestion index (INRIX) [dimensionless];Average congestion rate (INRIX) [percent];Congestion rank (TomTom) [dimensionless];Congestion level (TomTom) [× 100 percent];Congestion change (TomTom) [× 100 percent];Morning peak (TomTom) [percent];Evening peak (TomTom) [percent];Economy (IESE) [dimensionless];Environment (IESE) [dimensionless];Governance (IESE) [dimensionless];Human capital (IESE) [dimensionless];International impact (IESE) [dimensionless];Mobility and transportation (IESE) [dimensionless];Public management (IESE) [dimensionless];Social cohesion (IESE) [dimensionless];Technology (IESE) [dimensionless];Urban planning (IESE) [dimensionless];CIMI (IESE) [dimensionless];CIMI ranking (IESE) [dimensionless];CIMI performance (IESE) [dimensionless];Urban area name (UEX);Low BUA - 1990 (UEX) [km2];Low BUA - 2000 (UEX) [km2];Low BUA - 2014 (UEX) [km2];High BUA - 1990 (UEX) [km2];High BUA - 2000 (UEX) [km2];High BUA - 2014 (UEX) [km2];Low BUA % - 1990 (UEX) [percent];Low BUA % - 2000 (UEX) [percent];Low BUA % - 2014 (UEX) [percent];High BUA % - 1990 (UEX) [percent];High BUA % - 2000 (UEX) [percent];High BUA % - 2014 (UEX) [percent];Low BUA population density - 1990 (UEX) [people/km2];High BUA population density - 1990 (UEX) [people/km2];Low BUA population density - 2000 (UEX) [people/km2];High BUA population density - 2000 (UEX) [people/km2];Low BUA population density - 2014 (UEX) [people/km2];High BUA population density - 2014 (UEX) [people/km2];Exports (others) [m3];Production (others) [m3];Natgas Export/Production ratio (others);CH4_waste/capita (others) [tCH4/capita];CH4_waste+natgas/capita (others) [tCH4/capita];Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita];Year from CIA (others);AQF (CDP/GEA);AQF (CDP/WB);AQF (CDP/OTHERS);AQF (PKU/GEA);AQF (PKU/WB);AQF (PKU/OTHERS);PQF (CDP);PQF (carbonn);PQF (WB);PQF (WB2010);PQF (OTHERS);HQF (GEA+);HQF (OTHERS)
Toronto;City of Toronto;;;Toronto;Toronto;Toronto;Administrative boundary of a local government;;Greater Toronto Area;2005.0;2016;16151019.0;CDP;tCO2;2013;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);CO2;"Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste. a. Energy Heating and Cooling: The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc...b. Transportation: Data are collected and standardized only for car and truck traffic through the City using four main sources: -truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division -accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division --a Canadian standard developed by a Canadian consultant. The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and emissions factors for vehicle types are applied to calculate total emissions from mobile sources. c. Waste: Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills.";Decreased;a.  Eliminating the use of coal in the electricity mix which facilitated substantive per capita reductions in energy consumption b.  Significantly reducing the amount of waste going to landfill,and therefore,the amount of methane gas generated. Our transportation emissions have remained the same because we have not been able to update this data for the year 2012 and so we used the same data from 2011 for our inventory.;2169947.0;18320966.0;;A;;;;;;;1.0;;43.653226,-79.3831843;https://en.wikipedia.org/wiki/Toronto;Canada;North America;2753100.0;2011.0;;;;5555912.0;4628883.0;5555912.0;2005.0;2810000.0;2016;http://www.c40.org/cities/toronto;1068000.0;3807000.0;5485000.0;1.027645732265699;1.018426491530853;1.0;634.0;7125.0;7125.0;;634.0;2016;http://www.c40.org/cities/toronto;779.7771228070178;2553.0;779.7771228070178;65820.76476256548;65820.76476256548;77.0;8.0;CXTO;103.0;2819.0;1834;18;157300000000000.0;CAD     Canadian Dollar;2013;http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=41e067b42d853410VgnVCM10000071d60f89RCRD&vgnextchannel=57a12cc817453410VgnVCM10000071d60f89RCRD;;;;;;;276.313;45771.0;[1];2014;270.0;47030.13412297509;[3], [19];;41507.521401198595;19455.68;41507.521401198595;162.91575597309676;9.8;0.9;0.76;58.16;2.8;2006.0;http://www12.statcan.gc.ca/census-recensement/2006/dp-pd/tbt/Rp-eng.cfm?TABID=1&LANG=E&APATH=3&DETAIL=0&DIM=0&FL=A&FREE=0&GC=001&GID=761292&GK=10&GRP=1&PID=89047&PRID=0&PTYPE=88971,97154&S=0&SHOWALL=0&SUB=0&Temporal=2006&THEME=69&VID=0&VNAMEE=&VNAMEF=&D1=;;80.122;1.0;;32.8;2011;2011 census, Table 2 in http://www12.statcan.gc.ca/nhs-enm/2011/as-sa/99-012-x/99-012-x2011003_1-eng.pdf;1.16;1.17;2.9;2011;"average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=3520005&Data=Count&SearchText=toronto&SearchType=Begins&SearchPR=35&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2]";;53.0;46.0;8.4;11.8%;73;0.30000000000000004;0.02;50%;62%;15.0;37.0;2.0;32.0;43.0;51.0;18.0;44.0;26.0;45.0;82.85;11.0;RA;Toronto Urban Area;571.4375;575.4375;579.9375;1514.5625;1690.1875;1882.375;0.27393935762224403;0.25398620689655205;0.23552554763053;0.726060642377755;0.7460137931034481;0.76447445236947;431.432118448815;2031.8592823222602;458.892395422885;2785.2301635152307;217.583539631473;3310.00730012784;77960000000.0;151500000000.0;0.51;0.046860437000000005;0.10172751440000001;0.0734936045;;0.0;0.0;1.0;;;;1.0;;0.0;1.0;1.0;1.0;1.0
Santiago de Cali;Santiago de Cali;;;;;;Combination of administrative divisions;;;;2016;;CDP;tCO2-eq;2010;2006 IPCC Guidelines for National Greenhouse Gas Inventories;"CO2;CH4;N2O";;;;;4174608.0;;D;;;;3158858.9305162667;3725713.730070972;3442286.330293618;;;3.451647,-76.531985;https://en.wikipedia.org/wiki/Cali;Colombia;Latin America & Caribbean;2369829.0;2015.0;;;;;;;;2400653.0;2012;https://en.wikipedia.org/wiki/Cali#cite_note-1;;;;;;;566.0;;;;619.0;;https://en.wikipedia.org/wiki/Cali;;;;;;995.0;24.7;;;;0;1333;4540.0;;2012;DAPM;;;;;;;;;;2008;;;;;;;;;;;;;;;;;;;;;;;1.04;1.08;;;;;60.0;44.0;8.6;17.1%;;;;;;;;;;;;;;;;;;;Santiago de Cali Urban Area;56.0;57.8125;62.625;119.6875;122.3125;126.5;0.31874777659196;0.32095766828591304;0.331130204890944;0.68125222340804;0.679042331714087;0.6688697951090551;845.544915957531;12504.360650666598;1581.0227469513595;17057.840644910502;1663.54120187232;18606.553424639198;0.0;1.0;0.0;0.006765019000000001;0.015307751100000001;0.015307751100000001;;;;1.0;;;;0.0;;;;1.0;;
Kunming;;;Kuiming;Kunming;;;;;;;;2649621.63815;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;0.6108218128540001;;wikipedia;China;East Asia;;;;;4337798.0;5143000.000000001;;;;4575000.0;;wikipedia, urban values;;;;;;1.0;;;;381.1;4615.0;;(urban), from wikipedia;300.0;;;;;;;ZPPP;104.0;718.0;779;3;;;;;;;;;15486520.000000002;42441.39;0.0006108218128530001;;[1];2014;21.0;5923.83638928;[19];;6804.250123237967;;;67.05599421514654;;1.01;0.99;;3.79;2003.0;http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf;"For ""Yunnan""";42.522;1.0;Mountains, Lake;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Kunming Urban Area;181.0;204.6875;233.75;277.75;296.125;337.0625;0.39455040871934605;0.40871084487707504;0.40950399649622204;0.605449591280653;0.591289155122925;0.5904960035037781;1152.95893044381;8718.32479149506;1071.14238089423;9830.28686323766;936.0345100537219;9992.153340084129;;;;;;;;;;;;;0.0;;;;;;1.0;
Baotou;;;Baotou;;;;;;;;;3363195.27344;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;1.596385;;wikipedia;China;East Asia;;;;;2106757.0;;;;;2070801.0;;wikipedia, urban values;;;;;;;;;;349.5;2662.0;;(urban), from wikipedia;;;;;;;;;;;3920;122;;;;;;;;;20814400.0;41527.24;0.001596385;;[1];2014;31.0;14783.0233667;[19];;;;;;;;;;;;;;;;;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Baotou Urban Area;142.5;152.5;174.6875;196.5625;234.0625;263.8125;0.420276497695852;0.39450282942603104;0.39837514253135703;0.579723502304146;0.605497170573969;0.601624857468642;1370.69046455386;9537.698290376147;935.066160014448;6904.53186680955;1066.30814451093;7608.402628945841;;;;;;;;;;;;;0.0;;;;;;;
Milano;Comune di Milano;;;Milano (Milan);Milan;;Administrative boundary of a local government;;;;2016;3728678.0;CDP;tCO2;2013;Other;CO2;We didn't adopt any specific Protocol, anyway, let apart a few details,  the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this;;The most reliable comparison (for data completeness and coherence in the methodology ) can be made with reference to year 2005. CO2 emissions decreased as a whole  This is partially due to a decrease in the electricty national emission factor (due to better technologies and to the increasing quota of renewable energy sources ). Anyway if we calculate the emission inventory in 2005 and 2013 with the same electricity emission factor there is still a decrease in emissions Despite a litlle increase in population there was a reduction both in the bulding and in the mobility sector. Regarding buildings there was a progressive fuel switch from diesel oils to methane,more efficient boilers,an extension of the district heating service and a reduction in domestic electricity consumption. We registered also a decrease in traffic that together with the renovation of circulating vehicles generated a decrease of CO2 emissions in the mobility sector;2248100.0;5976779.0;;A;;;;;;;0.9999998326857991;;45.802578,9.086356;https://en.wikipedia.org/wiki/Milan;Italy;Europe;1350680.0;2014.0;;;;3721428.0;2460000.0;;;1350000.0;2016;http://www.c40.org/cities/milan;;;;;;1.0;182.0;;;;182.0;2016;http://www.c40.org/cities/milan;2000.0;7664.0;;;;122.0;15.5;LIML;263.0;1649.0;2650;0;;;;;;;;;;;312.108;41147.0;[1];2014;358.0;44777.98624140088;[19];;38940.598994452135;24971.84;;108.3566932371122;;1.63;1.57;54.73;1.9500000000000002;2004.0;http://www.urbanaudit.org;;67.58800000000001;0.0;Mountains;26.7;2009;TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf);2.01;2.14;1.8;2013;eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en];;137.0;33.0;5.6;9.0%;72;0.30000000000000004;0.01;61%;54%;56.0;46.0;79.0;35.0;23.0;15.0;69.0;71.0;61.0;14.0;73.66;38.0;RA;Comune di Milano Urban Area;650.5;668.4375;675.3125;1338.0625;1395.5625;1478.625;0.327120721626803;0.32385537790697705;0.31352464962423504;0.672879278373197;0.6761446220930231;0.686475350375765;831.3787684294749;9446.75429577895;299.89827721798304;3373.2132720011105;307.96181505085497;3413.2395707815003;68000000.0;7800000000.0;0.01;0.011383130900000002;0.015145862400000001;0.015113059100000001;;;;1.0;;;;1.0;;;;1.0;1.0;1.0
Hayward;City of Hayward;;;;;;Administrative boundary of a local government;;;;2016;861854.0;CDP;tCO2-eq;2015;International Emissions Analysis Protocol (ICLEI);"CO2;CH4;N2O";;Decreased;Comparing 2010 to 2015,energy emissions (natural gas and grid-supplied electricity) have decreased by 7%.;186850.0;1048704.0;;A;703089.756141584;783065.5670439141;743077.6615927491;889939.756141584;969915.5670439141;929927.6615927492;1.0;;37.6689,-122.0808;https://en.wikipedia.org/wiki/Hayward,_California;USA;North America;158985.0;2015.0;;;;;;;;158937.0;2016;https://www.census.gov/quickfacts/fact/table/haywardcitycalifornia/PST045216;;;;;;;117.0;;;;117.37834679999999;2010;https://www.census.gov/quickfacts/fact/table/haywardcitycalifornia/PST045216;;;;;;32.0;11.8;;;;186;135;;;;;;;;;;;;;;2008;411.969;;[20] The number is for San Francisco-Oakland-Hayward, CA;;;;;;;;;;;;;;;;;30.9;(2011-2015);;0.97;0.86;3.2;2011-2015;https://www.census.gov/quickfacts/fact/table/haywardcitycalifornia/PST045216;;;;;;;;;;;;;;;;;;;;;;;;see: San Francisco Bay Urban Area;;;;;;;;;;;;;;;;;;;42870000000.0;766200000000.0;0.06;0.017698981699999002;0.036729479100000004;0.0356646952;;;;1.0;;;;1.0;;;;1.0;;1.0
Tokyo;Tokyo Metropolitan Government;;;Tokyo;;Tokyo;Administrative boundary of a local government;;Tokyo Metropolitan Government Administered Areas (Tokyo-to);2006.0;2016;27611000.0;CDP;tCO2-eq;2014;Other;"CO2;CH4;N2O;HFCs;PFCs;SF6;NF3";The guideline set by the Ministry of environmnet , Japan;Stayed the same;No change compared with the previous fiscal year. GHG emissions decreased due to the progress of users' energy efficiency but,at the same time,increased due to a worsening electricity CO2 emission coefficient;42515000.0;70125000.0;;A;26518519.26726708;26658148.69136954;26588333.97931831;69032519.26726708;69172148.69136955;69102333.97931832;1.000014260249554;;35.6896342,139.6921007;https://en.wikipedia.org/wiki/Tokyo;Japan;East Asia;13513734.0;2015.0;;;;12790000.0;;12677920.999999998;2006.0;12576611.0;2015;(metropolis) https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-japan1-18;11275000.0;32530000.0;36933000.0;1.019972119313011;1.006367321744709;1.0;2188.0;2187.66;2187.66;;2190.93;2015;(metropolis) https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-japan1-18;5846.4295182980895;;5795.197151294077;273451.7023882509;271055.4402027957;43.0;16.6;RJTD;392.0;1065.0;1873;124;92899999999999.98;JPY     Japanese yen;2015;;;;;;;;1616.792;43664.0;[1];2014;1874.7;51443.389495636904;[3], [19];;33714.0473017425;;41300.0;59.781078967943714;4.4;1.3;1.42;66.6;2.05;2010.0;http://www.stat.go.jp/data/nenkan/pdf/yhyou02.pdf;;85.978;1.0;;43.8;2011;TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf);1.1;1.38;2.02;2017;http://www.city.yokohama.lg.jp/ex/stat/jinko/city/new-e.html [Tokyo Metropolis];;;;;;;;;;;6.0;8.0;91.0;6.0;20.0;21.0;33.0;96.0;5.0;86.0;84.85;8.0;RA;Tokyo Urban Area;2418.375;2396.875;2249.3125;5292.4375;5632.125;6068.125;0.31363426357468804;0.298527213849794;0.270433351618212;0.6863657364253121;0.701472786150205;0.7295666483817881;497.19925757831595;5347.753648161021;422.312218986744;5824.28120061865;400.025597113373;5964.577760797901;0.0;1.0;0.0;0.0025182088;0.0028872234;0.0028872234;;1.0;1.0;1.0;;;;1.0;;0.0;1.0;1.0;1.0;1.0
Aerøskøbing;City of Ærøskøbing;;;;;;Administrative boundary of a local government;;;;2016;;CDP;tCO2;2015;Other;CO2;;Decreased;More renewable energi.;;225.0;;D;;;;;;;;;54.891456,10.404684;https://en.wikipedia.org/wiki/Ærø;Denmark;Europe;6200.0;2015.0;;;;;;;;6383.0;2014;(whole island of Ærø) https://en.wikipedia.org/wiki/Ærø;;;;;;;88.0;;;;88.0;;https://en.wikipedia.org/wiki/%C3%86r%C3%B8;;;;;;10.0;10.0;;;;2335;0;;;;;;;;;;;;;;2008;;;;;;;;;;;;;;;;;;;;;;;1.8;2.01;1.7908326080649801;2017;http://www.statistikbanken.dk/statbank5a/SelectVarVal/saveselections.asp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4517000000.0;6412000000.0;0.7000000000000001;0.0106834006;0.01703133;0.0125594652;;;;1.0;;;;1.0;;;;1.0;;1.0
Heilongjiang;;;Yichun;;;;;;;;;350520.291081;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;0.363462839327;;wikipedia;China;East Asia;;;;;964391.0;;;;;1148126.0;2010;(pref.-level city), from wikipedia;;;;;;;;;;61.8;39017.0;;(city), from wikipedia;;;;;;;;;;;5456;12;;;;;;;;;1358483.0;16261.46;;;;2008;;;;;;;;;;;;;;;;;;;;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Heilongjiang Urban Area;14.1875;15.4375;17.375;19.6875;21.75;24.1875;0.418819188191882;0.41512605042016804;0.41804511278195505;0.5811808118081181;0.5848739495798321;0.581954887218045;282.13594657492;3630.7863470729712;1460.2475760985699;5610.855562908901;800.29075415545;4445.78337948575;;;;;;;;;;;;;0.0;;;;;1.0;;
Toluca de Lerdo;;Municipality of Toluca de Lerdo;;;;;;Municipality;;;;4378317.0;carbonn;tCO2-eq;2010;Community;;;;;;;;;;;;;;;;;;carbonn;Mexico;Latin America & Caribbean;;;819661.0;2011.0;;;;;;873536.0;2015;Wikipedia;;;;;;;;;;;452.37;2015;Wikipedia;;;;;;;;;;;5;2547;;;;;249339999.99999997;291739497.97917;USD;2013;;;;;;;12.0;6500541.711809318;[3], [19];;;;;;;;;;;;;;;;;;;;1.02;1.03;;;;;497.0;16.0;3.4;6.7%;;;;;;;;;;;;;;;;;;;see: Mexico City Urban Area;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;0.0;;
