,country_long,name,capacity_mw,latitude,longitude,primary_fuel,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh,gCO2/KWh,generation_gwh_2017_with_estimated_data,tCO2_emitted_in_2013,tCO2_emitted_in_2014,tCO2_emitted_in_2015,tCO2_emitted_in_2016,tCO2_emitted_in_2017,tCO2_emitted_in_2017_with estimated_data,tCO2_emitted_in_2018_with estimated_data_extrapolated,tCO2_emitted_in_2019_with estimated_data_extrapolated
0,Afghanistan,Northwest Kabul Power Plant Afghanistan,42.0,34.5638,69.1134,Gas power plant,,,,,,,443,,,,,,,,,
1,Algeria,Ain Djasser,520.0,35.8665,6.0262,Gas power plant,,,,,,2152.249818828645,443,2152.249818828645,,,,,,953446.6697410897,953446.6697410897,953446.6697410897
2,Algeria,Annaba,71.0,36.8924,7.7634,Gas power plant,,,,,,293.8648791092957,443,293.8648791092957,,,,,,130182.141445418,130182.141445418,130182.141445418
3,Algeria,Arbaa,560.0,36.5988,3.1375,Gas power plant,,,,,,2317.807497200079,443,2317.807497200079,,,,,,1026788.7212596351,1026788.7212596351,1026788.7212596351
4,Algeria,Boufarik 1,100.0,36.5914,2.9223,Gas power plant,,,,,,413.89419592858565,443,413.89419592858565,,,,,,183355.12879636345,183355.12879636345,183355.12879636345
5,Algeria,Boufarik 2,450.0,36.596,2.878,Gas power plant,,,,,,1862.523881678635,443,1862.523881678635,,,,,,825098.0795836353,825098.0795836353,825098.0795836353
6,Algeria,Boutelilis,450.0,35.5658,-0.9386,Gas power plant,,,,,,1862.523881678635,443,1862.523881678635,,,,,,825098.0795836353,825098.0795836353,825098.0795836353
7,Algeria,F'Krina,292.0,35.7666,7.3619,Gas power plant,,,,,,1208.57105211147,443,1208.57105211147,,,,,,535396.9760853812,535396.9760853812,535396.9760853812
8,Algeria,Hadjret Ennous,1200.0,36.5767,2.0797,Gas power plant,,,,,,4966.730351143026,443,4966.730351143026,,,,,,2200261.545556361,2200261.545556361,2200261.545556361
9,Algeria,Hamma 2,418.0,36.7489,3.0823,Gas power plant,,,,,,1730.0777389814875,443,1730.0777389814875,,,,,,766424.4383687989,766424.4383687989,766424.4383687989
10,Algeria,Hassi Messaoud Mobile,72.0,31.6703,6.0531,Gas power plant,,,,,,298.0038210685816,443,298.0038210685816,,,,,,132015.69273338164,132015.69273338164,132015.69273338164
11,Algeria,Hassi Messoud,600.0,31.6703,6.0531,Gas power plant,,,,,,2483.365175571513,443,2483.365175571513,,,,,,1100130.7727781804,1100130.7727781804,1100130.7727781804
12,Algeria,Hassi Messoud Nord 2,200.0,31.7877,6.0517,Gas power plant,,,,,,827.7883918571713,443,827.7883918571713,,,,,,366710.2575927269,366710.2575927269,366710.2575927269
13,Algeria,Hassi Messoud Ouest,492.0,31.8065,5.9924,Gas power plant,,,,,,2036.3594439686408,443,2036.3594439686408,,,,,,902107.2336781078,902107.2336781078,902107.2336781078
14,Algeria,Jijel,588.0,36.8139,5.876,Gas power plant,,,,,,2433.6978720600832,443,2433.6978720600832,,,,,,1078128.1573226168,1078128.1573226168,1078128.1573226168
15,Algeria,Kahrama IPP,345.0,35.8064,-0.2476,Gas power plant,,,,,,1427.93497595362,443,1427.93497595362,,,,,,632575.1943474537,632575.1943474537,632575.1943474537
16,Algeria,Koudiet Eddraouch,1200.0,36.885,8.0778,Gas power plant,,,,,,4966.730351143026,443,4966.730351143026,,,,,,2200261.545556361,2200261.545556361,2200261.545556361
